text,similarity,levenshtein,index
Mycobacterium tuberculosis H37RvAE,0.9310344827586207,1.4,29528
Mycobacterium tuberculosis H37RvLP,0.9310344827586207,1.4,29740
Mycobacterium tuberculosis H37RvMA,0.9310344827586207,1.4,29747
Mycobacterium tuberculosis H37Ra,0.9285714285714286,0.7,575
Mycobacterium tuberculosis H37Ra,0.9285714285714286,0.7,2416
Mycobacterium tuberculosis H37Ra,0.9285714285714286,0.7,87256
Mycobacterium ulcerans Agy99,1,0,474
Nakamurella multipartita DSM 44233,1,0,944
Natrialba magadii ATCC 43099,1,0,1003
Natrialba magadii ATCC 43099,1,0,9916
Natronomonas pharaonis DSM 2160,1,0,1024
Neisseria meningitidis MC58,1,0,228
Nitrosomonas europaea ATCC 19718,1,0,241
Nitrosospira multiformis ATCC 25196,1,0,3643
Nitrosospira multiformis ATCC 25196,1,0,2739598
Nocardia farcinica IFM 10152,1,0,273
Nocardioides sp. JS614,1,0,535
Novosphingobium aromaticivorans DSM 12444,1,0,444
Oceanicola granulosus HTCC2516,1,0,1648
Oceanobacillus iheyensis HTE831,1,0,345
Paracoccus denitrificans PD1222,1,0,3689
Pasteurella multocida subsp. multocida str. Pm70,1,0,131
Pasteurella multocida subsp. multocida str. PMTB,0.9111111111111111,2.0999999999999996,16076
Pediococcus pentosaceus ATCC 25745,1,0,500
Pedobacter heparinus DSM 2366,1,0,918
Pedobacter heparinus DSM 2366,1,0,13333
Pedobacter sp. BAL39,1,0,2480
Pelobacter propionicus DSM 2379,1,0,524
Pelodictyon luteolum DSM 273,1,0,405
Petrotoga mobilis SJ95,1,0,679
Phenylobacterium zucineum HLK1,1,0,621
Photobacterium profundum SS9,1,0,3638
Pirellula staleyi DSM 6068,1,0,983
Pirellula staleyi DSM 6068,1,0,2885591
Pirellula staleyi DSM 6068,1,0,2886246
Pirellula staleyi DSM 6068,1,0,2886758
Pirellula staleyi DSM 6068,1,0,2887485
Polaromonas naphthalenivorans CJ2,1,0,546
Polaromonas sp. JS666,1,0,471
Polaromonas sp. JS666,1,0,2739139
Prochlorococcus marinus str. MIT 9313,1,0,357
Prochlorococcus marinus str. MIT 9313,1,0,3010341
Prochlorococcus marinus str. MIT 9312,0.9393939393939394,0.7,411
Prochlorococcus marinus str. MIT 9311,0.9393939393939394,0.7,30142
Prochlorococcus marinus str. MIT 9314,0.9393939393939394,0.7,30143
Prosthecochloris aestuarii DSM 271,1,0,772
Proteus mirabilis HI4320,1,0,1117
Proteus mirabilis HI4320,1,0,3070642
Pseudoalteromonas tunicata D2,1,0,1645
Pseudomonas aeruginosa PAO1,1,0,128
Pseudomonas aeruginosa PAO1,1,0,13496
Pseudomonas aeruginosa PAO1,1,0,186913
Pseudomonas aeruginosa PAO1,1,0,186914
Pseudomonas aeruginosa PAO1,1,0,186915
Pseudomonas aeruginosa PAO1,1,0,186916
Pseudomonas aeruginosa PAO1,1,0,186917
Pseudomonas aeruginosa PAO1,1,0,186918
Pseudomonas aeruginosa PAO1,1,0,186919
Pseudomonas aeruginosa PAO1,1,0,186920
Pseudomonas aeruginosa PAO1,1,0,186921
Pseudomonas aeruginosa PAO1,1,0,633736
Pseudomonas aeruginosa PAO1,1,0,714079
Pseudomonas aeruginosa PAO1,1,0,714080
Pseudomonas aeruginosa PAO1,1,0,1494054
Pseudomonas aeruginosa PAO1,1,0,1494055
Pseudomonas aeruginosa PAO1,1,0,1494059
Pseudomonas aeruginosa PAO1,1,0,1504652
Pseudomonas aeruginosa PAO1,1,0,1504654
